League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Greece Super League,2024-12-23,10:00:00,16,Asteras Tripolis,Aris,4.0,2.05,3.0,2.9,3.06,2.54,1.5,2.5,1.08,8.0,1.4,3.0,2.15,1.61,1.91,1.91,1.59,1.39,1.41,1.0,1.14,1.43,1.1,2.53,2.3,5.6,1.95,1.48,2.4,1.87,1.83,2.45,1.46,3.34,1.24,3.9,1.17
Serbia SuperLiga,2024-12-23,10:30:00,20,OFK Beograd,Bačka Topola,3.25,2.1,3.0,2.91,3.24,2.33,1.4,2.75,1.05,8.5,1.27,3.55,1.9,1.9,1.73,2.0,1.53,1.28,1.36,1.33,1.38,1.53,1.5,3.03,2.2,7.5,1.91,0.0,0.0,1.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Romania Liga I,2024-12-23,12:00:00,21,UTA Arad,Botoşani,2.88,2.0,4.33,2.11,3.15,3.55,1.5,2.5,1.02,8.2,1.39,2.85,2.15,1.61,1.91,1.8,1.27,1.31,1.59,1.2,0.6,1.63,1.14,2.77,1.81,6.8,2.46,1.3,2.97,1.57,2.19,2.0,1.72,2.64,1.4,3.58,1.21
Greece Super League,2024-12-23,13:00:00,16,OFI,Volos NFC,2.88,2.1,4.0,2.1,3.38,3.39,1.44,2.63,1.07,8.4,1.35,3.2,2.0,1.73,1.8,1.95,1.32,1.37,1.75,0.71,1.71,1.13,0.87,2.0,1.58,5.85,3.1,1.51,2.32,1.93,1.78,2.54,1.43,3.5,1.22,0.0,0.0
Turkey Süper Lig,2024-12-23,14:00:00,17,Hatayspor,Adana Demirspor,2.2,2.35,5.0,1.63,4.14,4.76,1.38,3.3,1.04,15.0,1.22,4.12,1.72,2.07,1.75,2.05,1.2,1.25,2.35,0.88,0.29,1.16,1.2,2.36,1.47,6.75,3.05,1.34,2.9,1.58,2.18,1.96,1.74,2.45,1.48,3.15,1.29
Turkey Süper Lig,2024-12-23,14:00:00,17,İstanbul Başakşehir,Kasımpaşa,2.75,2.2,3.75,2.07,3.57,3.33,1.42,3.1,1.03,10.65,1.27,3.61,1.83,1.93,1.7,2.1,1.35,1.33,1.8,2.14,1.86,1.53,1.3,2.83,1.91,8.0,2.2,1.36,2.98,1.62,2.22,1.95,1.77,2.6,1.46,3.58,1.27
Italy Serie A,2024-12-23,14:30:00,17,Fiorentina,Udinese,2.2,2.25,5.5,1.51,4.19,5.97,1.36,3.0,1.04,12.0,1.28,3.75,1.84,1.96,1.91,1.91,1.14,1.2,2.4,2.43,1.0,1.6,1.36,2.96,1.28,7.9,4.55,1.26,3.4,1.48,2.45,1.8,1.88,2.25,1.55,2.95,1.34
Romania Liga I,2024-12-23,15:00:00,21,CSM Iaşi,FCSB,5.5,2.1,2.3,4.54,3.51,1.75,1.44,2.63,1.02,7.8,1.36,3.0,2.05,1.7,2.1,1.67,1.83,1.25,1.19,1.7,1.6,1.46,1.52,2.98,2.9,6.75,1.5,1.32,3.0,1.55,2.25,1.9,1.76,2.4,1.48,3.1,1.3
Portugal Liga NOS,2024-12-23,15:45:00,15,Vitória Guimarães,CD Nacional,2.0,2.2,6.0,1.49,4.08,6.52,1.38,2.8,1.05,9.0,1.3,3.4,1.98,1.83,2.05,1.7,1.11,1.18,2.5,2.17,0.29,1.28,1.4,2.68,1.13,10.5,6.5,1.13,4.55,1.28,3.3,1.5,2.35,1.88,1.8,2.48,1.46
Portugal Liga NOS,2024-12-23,15:45:00,15,Benfica,GD Estoril Praia,1.4,3.1,13.0,1.06,12.81,23.59,1.2,4.0,0.0,0.0,1.09,7.0,1.33,3.0,2.35,1.53,1.01,1.05,7.0,3.0,0.5,2.03,0.98,3.01,1.08,12.5,8.0,1.21,3.65,1.38,2.7,1.63,2.08,1.97,1.71,2.48,1.45
Netherlands Eerste Divisie,2024-12-23,16:00:00,20,Ajax II,Roda JC,3.5,2.4,2.63,3.27,3.7,2.08,1.29,3.5,1.02,17.0,1.16,5.0,1.53,2.4,1.5,2.5,1.72,1.22,1.36,1.0,1.3,1.61,1.66,3.27,2.38,7.2,1.75,1.2,3.95,1.29,3.25,1.52,2.32,1.9,1.78,2.52,1.45
